1 ,"1,224",767,610,516,648,"1,536","2,574","2,991","3,203","3,749","4,211","3,575","3,445","3,491","3,704","4,076","3,981","3,606","3,227","3,211","3,285","3,618","2,986","2,140"
7 ,"1,539","1,101",850,785,"1,090","2,439","4,179","4,458","4,759","4,895","4,938","4,706","4,342","4,209","4,233","4,474","4,452","3,912","3,394","2,868","2,645","2,824","2,390","1,780"
6 ,"1,244",955,788,735,"1,016","2,362","4,254","5,463","5,194","4,715","4,991","4,918","4,821","4,591","4,284","4,260","4,739","4,743","4,183","3,428","3,412","3,029","2,535","1,968"
5 ,"1,276",941,692,774,"1,486","3,541","5,500","6,257","5,849","5,023","5,487","5,303","4,609","4,400","4,367","4,302","4,361","4,059","3,238","2,669","2,413","2,333","1,974","1,589"
4 ,"1,169",759,564,529,673,"1,306","1,957","2,336","2,370","2,974","3,920","4,343","4,276","4,288","4,850","4,698","4,886","4,254","3,751","3,410","3,476","3,238","2,587","1,932"
3 ,"1,354",846,579,667,967,"1,880","3,148","3,596","4,294","4,583","5,063","5,116","4,740","4,470","4,552","4,502","4,170","3,540","3,324","2,919","2,791","2,832","2,446","1,789"
2 ,"1,793","1,352","1,240","1,684","3,195","5,416","5,850","4,715","4,960","4,698","4,667","4,149","4,626","4,594","4,538","2,850","2,836","3,710","3,461","3,304","3,667","3,347","3,226","2,179"
1 ,"4,083","4,277","3,947","4,413","5,564","4,965","5,558","4,462","4,385","4,518","4,327","4,679","4,719","4,926","4,727","4,538","4,852","4,983","3,920","3,537","3,486","3,473","3,044","2,402"
7 ,"4,201","3,280","2,920","3,497","4,672","5,138","5,173","3,887","3,973","4,510","4,684","4,774","5,133","4,839","4,091","4,206","5,140","5,033","4,497","4,016","4,017","5,018","4,586","3,957"
6 ,"1,817","1,297",974,879,"1,178","1,871","3,242","4,416","4,463","4,032","4,038","4,558","4,839","4,652","4,942","5,113","5,380","5,082","4,449","4,229","4,854","5,042","4,372","4,175"
5 ,"1,667","1,231",892,807,"1,093","2,112","3,950","5,136","5,116","4,992","4,874","4,527","4,390","4,379","4,371","4,304","4,155","4,378","3,861","3,115","3,057","3,114","2,607","2,187"
4 ,"1,607","1,198",928,761,"1,127","2,416","4,354","5,584","5,606","5,043","5,175","5,374","4,816","4,993","4,314","4,528","4,382","4,236","3,986","2,871","2,759","3,004","2,659","2,018"
3 ,"1,330","1,206","1,022",955,"1,258","2,519","4,895","6,044","6,115","5,690","5,589","5,707","5,237","5,041","4,765","4,520","4,353","4,427","3,642","2,950","3,041","2,871","2,456","2,100"
2 ,"1,623","1,064",829,834,"1,521","3,688","6,333","6,431","5,988","5,833","5,857","5,703","5,608","5,239","4,987","4,502","4,510","4,428","3,950","2,885","2,936","2,819","2,210","1,767"
1 ,"1,441","1,061",837,808,"1,364","3,160","5,225","4,692","3,977","3,844","4,000","3,760","3,411","3,416","3,792","3,806","3,919","3,740","3,532","3,168","3,364","3,674","3,190","2,339"
7 ,"2,101","1,506","1,284","1,277","2,237","4,404","5,007","3,380","4,143","4,419","3,787","3,932","4,079","4,119","4,062","3,959","4,105","4,161","3,843","2,958","2,936","3,063","2,675","2,030"
