1 ,284,185,176,210,236,341,486,652,846,"1,217","1,399","1,516","1,647","1,875","2,239","2,432","2,428","2,643","2,164","1,724","1,411","1,036",665,473
7 ,379,268,293,312,385,679,975,"1,183","1,604","1,869","1,966","1,887","1,810","1,987","2,525","2,240","2,322","2,539","2,380","1,898","1,345","1,013",696,501
6 ,278,248,222,261,446,821,"1,179","1,664","1,784","2,158","2,296","2,315","2,218","2,481","2,924","2,837","2,670","2,843","2,922","2,436","1,780","1,390",912,581
5 ,338,255,214,253,431,892,"1,393","1,824","1,650","1,891","2,097","2,179","2,053","2,201","2,469","2,611","2,344","2,487","2,426","1,809","1,276",981,613,433
4 ,"1,743","1,050",840,298,307,347,559,811,897,"1,169","1,639","2,077","2,555","2,561","2,566","2,319","2,282","2,533","2,429","2,548","2,246","1,944","1,309",747
3 ,"1,602","1,575",772,302,280,394,663,907,"1,525","1,789","2,448","2,925","2,754","2,706","2,981","2,785","2,348","2,711","2,644","2,592","2,570","2,489","2,272","2,315"
2 ,219,149,107,126,200,410,"1,003","1,321","1,245","1,706","2,637","3,322","3,153","2,468","2,051","2,456","2,638","2,608","2,685","2,591","2,643","2,463","2,314","2,173"
1 ,373,239,207,222,360,338,508,776,988,"1,219","1,433","1,583","1,486","1,529","1,631","1,565","1,399","1,312","1,254",948,830,661,483,367
7 ,523,352,349,349,468,619,837,"1,020","1,408","1,294","1,352","1,336","1,505","1,710","1,740","1,801","1,600","1,634","1,551","1,178",972,815,631,489
6 ,333,237,284,270,389,698,"1,077","1,617","1,730","1,992","2,311","2,284","2,376","2,536","2,862","2,583","2,717","2,869","2,557","1,945","1,517","1,209","1,080",625
5 ,390,244,242,297,472,812,"1,166","1,739","1,923","2,247","2,456","2,307","2,474","2,753","3,054","2,928","2,936","2,753","2,611","2,051","1,484","1,168",775,527
4 ,369,275,248,291,442,855,"1,312","1,741","1,929","2,293","2,419","2,314","2,362","2,711","3,087","3,189","3,092","3,035","2,846","2,125","1,597","1,233",887,659
3 ,398,245,262,304,465,909,"1,405","1,790","1,922","2,265","2,505","2,391","2,507","2,674","2,952","2,909","3,256","2,875","2,740","2,101","1,566","1,274",924,630
2 ,331,228,227,271,531,"1,094","1,613","1,995","2,264","1,933","2,096","2,241","2,352","2,446","3,017","2,917","2,790","2,821","2,771","2,055","1,680","1,325",948,657
1 ,336,251,213,188,324,456,672,844,"1,057","1,461","1,742","2,027","2,285","2,864","2,796","2,767","2,743","2,460","2,278","2,480","2,015","1,437",937,570
7 ,430,331,306,308,490,818,"1,162","1,464","1,663","2,122","2,279","2,267","2,126","2,697","3,218","3,146","2,972","2,805","2,561","2,337","1,688","1,161",818,700
6 ,390,259,244,284,383,906,"1,277","1,720","1,894","2,249","2,395","2,335","2,511","2,705","3,234","3,404","3,054","2,976","3,102","2,468","1,958","1,410",965,693
5 ,384,238,218,268,453,881,"1,277","1,809","1,944","2,259","2,312","2,232","2,275","2,391","2,892","3,108","3,236","2,927","2,805","1,967","1,613","1,171",980,623
4 ,379,226,214,265,419,925,"1,362","1,727","1,930","2,279","2,380","2,212","2,235","2,517","2,893","3,019","2,959","2,871","2,767","2,105","1,575","1,204",843,611
3 ,310,215,182,267,442,835,"1,405","1,735","2,051","2,219","2,244","2,203","2,327","2,651","2,888","3,126","2,949","2,903","2,782","1,993","1,643","1,114",863,522
2 ,353,214,205,271,534,"1,107","1,794","2,149","1,983","2,076","2,354","2,154","2,151","2,310","2,693","2,961","2,829","2,703","2,716","1,946","1,482","1,167",790,573
1 ,347,208,174,178,254,425,670,872,"1,113","1,458","1,804","2,084","2,332","2,997","2,993","2,711","2,564","2,310","2,466","2,498","2,507","2,451","1,778",743
7 ,347,332,315,329,472,840,"1,150","1,393","1,658","1,823","1,992","2,271","2,657","2,329","3,014","3,179","2,789","2,620","2,279","2,065","2,097","1,807",999,694
6 ,340,250,231,282,431,811,"1,226","1,597","1,818","2,161","2,316","2,381","2,354","2,736","2,746","2,908","3,091","3,025","2,586","2,675","1,986","1,523","1,106",680
5 ,388,256,238,309,424,786,"1,334","1,721","1,937","2,205","2,379","2,169","1,705","2,579","2,602","2,802","2,961","2,792","2,653","1,897","1,544","1,198",721,530
4 ,310,273,233,258,458,791,"1,291","1,710","1,851","2,124","2,338","2,090","2,170","2,399","2,809","2,952","2,763","2,744","2,810","2,090","1,491","1,233",869,622
3 ,258,185,216,261,396,732,"1,253","1,661","1,809","2,087","2,319","2,198","2,285","2,336","2,792","2,731","2,711","2,867","2,802","1,856","1,505","1,209",847,519
2 ,303,221,220,280,512,995,"1,677","2,086","1,868","2,051","2,227","2,227","2,221","2,312","2,532","2,559","2,458","2,413","2,410","1,448","1,172",946,612,387
1 ,465,252,174,235,317,458,598,760,"1,015","1,274","1,671","1,869","2,117","2,689","2,713","2,999","2,775","2,660","2,623","2,649","2,540","1,965","1,094",648
7 ,429,340,314,289,466,742,"1,093","1,306","1,593","1,882","1,965","1,946","2,100","2,540","2,404","2,970","3,027","2,792","2,851","2,340","1,725",961,661,695
6 ,283,191,185,236,404,737,"1,218","1,633","1,759","1,916","2,236","2,243","2,235","2,391","2,664","2,983","3,197","2,750","3,210","2,539","1,938","1,454","1,059",655
5 ,296,242,169,211,374,723,"1,017","1,608","1,723","2,063","2,151","2,157","1,995","2,273","2,643","2,661","2,614","2,649","2,619","1,915","1,436",957,648,458
4 ,277,207,175,213,337,661,"1,003","1,572","1,754","2,041","2,146","2,050","2,158","2,263","2,662","2,448","2,519","2,515","2,522","1,494","1,292",976,622,505
3 ,235,180,180,226,344,639,994,"1,502","1,629","1,949","2,138","2,088","1,992","2,122","2,380","2,759","2,532","2,280","2,290","1,576","1,175",864,635,393
2 ,305,198,164,218,398,865,"1,476","1,940","1,686","1,959","2,201","1,991","1,851","1,851","2,308","2,524","2,380","2,332","2,433","1,426","1,049",988,655,372
1 ,358,236,164,145,216,345,524,666,"1,023","1,370","1,590","1,808","2,115","2,547","2,771","2,786","2,787","2,567","2,693","2,689","2,286","1,532","1,014",492
7 ,330,281,225,240,405,758,"1,080","1,252","1,556","1,817","2,003","1,917","1,855","2,170","2,418","2,695","2,722","2,874","2,601","1,883","1,636","1,226",908,687
6 ,202,162,140,184,267,408,742,"1,182","1,291","1,308","1,761","1,820","1,831","2,025","2,214","2,348","2,311","2,602","2,903","2,006","1,634","1,221",864,581
5 ,322,257,201,216,346,657,"1,042","1,523","1,780","1,871","1,998","2,064","1,893","2,124","2,354","2,278","2,222","2,278","2,289","1,360",985,702,439,339
4 ,355,257,193,245,400,794,"1,272","1,646","1,768","2,014","2,281","2,241","2,259","2,444","2,575","2,932","2,561","2,801","2,774","1,999","1,474","1,122",839,558
3 ,260,219,164,248,461,750,"1,235","1,673","1,816","2,065","2,160","2,197","2,184","2,428","2,680","2,661","2,763","2,659","2,652","1,847","1,498","1,157",769,74
2 ,315,178,156,264,447,"1,026","1,672","2,052","1,916","1,986","2,180","2,227","2,245","2,306","2,626","2,588","2,592","2,642","2,424","1,712","1,350",994,773,55
1 ,397,202,187,171,240,339,554,701,926,"1,280","1,484","1,643","1,951","2,346","2,879","2,770","2,689","2,743","2,686","2,590","2,581","2,060","1,184",83
7 ,442,304,268,273,435,753,"1,046","1,243","1,441","1,841","1,913","1,910","1,980","2,041","2,042","2,409","2,720","2,552","2,387","1,641","1,512","1,240",865,46
6 ,375,273,230,254,410,834,"1,216","1,738","1,831","2,101","2,209","2,452","2,100","2,295","2,362","3,058","2,864","3,070","3,214","2,344","2,070","1,425","1,032",63
